------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:55:09 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3292750
decoder.bytes                                 | Total                     | 1947316154
decoder.ipv4                                  | Total                     | 3292316
decoder.arp                                   | Total                     | 435
decoder.sll                                   | Total                     | 3292750
decoder.tcp                                   | Total                     | 3240864
tcp.syn                                       | Total                     | 47526
tcp.synack                                    | Total                     | 47526
tcp.rst                                       | Total                     | 122
decoder.udp                                   | Total                     | 50962
decoder.icmpv4                                | Total                     | 60
decoder.avg_pkt_size                          | Total                     | 591
decoder.max_pkt_size                          | Total                     | 1519
flow.total                                    | Total                     | 33299
flow.tcp                                      | Total                     | 23786
flow.udp                                      | Total                     | 9502
flow.icmpv4                                   | Total                     | 11
flow.tcp_reuse                                | Total                     | 12
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 993
flow.wrk.spare_sync_incomplete                | Total                     | 64
flow.wrk.spare_sync_empty                     | Total                     | 816
defrag.ipv4.fragments                         | Total                     | 70
defrag.ipv4.reassembled                       | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 6
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 49
flow.wrk.flows_evicted_needs_work             | Total                     | 19948
flow.wrk.flows_evicted_pkt_inject             | Total                     | 24590
flow.wrk.flows_evicted                        | Total                     | 14018
flow.wrk.flows_injected                       | Total                     | 19844
flow.wrk.flows_injected_max                   | Total                     | 303
tcp.sessions                                  | Total                     | 23763
tcp.ssn_from_cache                            | Total                     | 14195
tcp.ssn_from_pool                             | Total                     | 9568
tcp.pseudo                                    | Total                     | 2
tcp.segment_from_cache                        | Total                     | 1443040
tcp.segment_from_pool                         | Total                     | 330612
tcp.stream_depth_reached                      | Total                     | 6
tcp.reassembly_gap                            | Total                     | 68
tcp.overlap                                   | Total                     | 886620
detect.alert                                  | Total                     | 6348
detect.alert_queue_overflow                   | Total                     | 5
detect.alerts_suppressed                      | Total                     | 1607
app_layer.flow.http                           | Total                     | 3927
app_layer.tx.http                             | Total                     | 6631
app_layer.error.http.parser                   | Total                     | 9
app_layer.flow.ftp                            | Total                     | 881
app_layer.tx.ftp                              | Total                     | 8816
app_layer.error.ftp.parser                    | Total                     | 60
app_layer.flow.smtp                           | Total                     | 1534
app_layer.tx.smtp                             | Total                     | 3050
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 2
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 688
app_layer.flow.imap                           | Total                     | 816
app_layer.flow.smb                            | Total                     | 584
app_layer.tx.smb                              | Total                     | 1180
app_layer.flow.dcerpc_tcp                     | Total                     | 6
app_layer.tx.dcerpc_tcp                       | Total                     | 12
app_layer.error.dcerpc_tcp.parser             | Total                     | 1
app_layer.flow.ftp-data                       | Total                     | 908
app_layer.flow.tftp                           | Total                     | 8
app_layer.tx.tftp                             | Total                     | 14
app_layer.error.tftp.parser                   | Total                     | 2
app_layer.flow.ike                            | Total                     | 1
app_layer.tx.ike                              | Total                     | 2
app_layer.flow.snmp                           | Total                     | 4
app_layer.tx.snmp                             | Total                     | 2
app_layer.error.snmp.parser                   | Total                     | 6
app_layer.flow.sip                            | Total                     | 15
app_layer.tx.sip                              | Total                     | 30
app_layer.flow.telnet                         | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 12396
app_layer.flow.dns_udp                        | Total                     | 6200
app_layer.tx.dns_udp                          | Total                     | 26394
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.tx.krb5_udp                         | Total                     | 8
app_layer.flow.failed_udp                     | Total                     | 3272
flow.end.state.new                            | Total                     | 452
flow.end.state.established                    | Total                     | 9164
flow.end.state.closed                         | Total                     | 23683
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 79
flow.end.tcp_state.closed                     | Total                     | 23683
flow.end.tcp_liberal                          | Total                     | 68
flow.mgr.full_hash_pass                       | Total                     | 74
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10669
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 60178
flow.mgr.flows_notimeout                      | Total                     | 30591
flow.mgr.flows_timeout                        | Total                     | 29587
flow.mgr.flows_evicted                        | Total                     | 30023
flow.mgr.flows_evicted_needs_work             | Total                     | 18775
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 58
flow.recycler.recycled                        | Total                     | 13242
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 1603
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1202880
ftp.memuse                                    | Total                     | 856
flow.memuse                                   | Total                     | 12997888
